,cv_acc_mean,cv_acc_std,cv_roc_mean,test_acc,test_prec,test_rec,test_f1,test_roc,test_mse,test_r2
LogisticRegression,0.58953,0.004586894374192618,0.6156004228453135,0.5924139576962142,0.5823942603861468,0.68163633166271,0.6281194295900179,0.6182730055556154,,
RandomForest,0.6765700000000001,0.0034846233655877637,0.7514989602794774,0.697357539697957,0.6997238840312932,0.7018926404642575,0.7008065843621399,0.7846826015361099,,
MLP,0.60774,0.020902090804510436,0.6533263657628205,0.6463843084146903,0.6326717260167348,0.7146970895981711,0.6711876303131644,0.7071944339252744,,
XGBoost,0.69795,0.00227947362344904,0.7760953810843743,0.7093182663329134,0.6896917650064359,0.7714763035258947,0.7282952110688587,0.788782283338432,,
Huber,,,,,,,,,0.04395899013624346,-0.08134374563886992
