SNO,INSTCODE,NAME_OF_THE_INSTITUTION,TYPE,INST_REG,DIST,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
23,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,CIV,126892,150223,165043,174759,149670,153179,172334,172334,169524,169524,152757,152757,153377,153377,151162,171962,147923,167691,48800
24,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,CSE,56054,56054,155249,165172,153701,153701,91993,156579,131947,131947,77566,81066,107645,107645,85643,85643,69853,67433,48800
25,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,CSM,63316,63316,174346,174346,165324,165324,158651,158651,128800,131550,85114,85114,133539,133539,130701,130701,71840,84869,48800
26,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,ECE,82990,101257,177602,177602,170120,170120,154673,154673,141829,147379,103236,103236,111320,170237,148161,148161,94252,99703,48800
27,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,EEE,115620,115620,163324,163324,115777,122554,154618,160586,149011,155973,115620,134357,176136,176136,115620,115620,121281,152249,48800
28,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,INF,84411,120290,165770,165770,90018,120290,127210,141480,137017,172603,84411,120290,151813,163924,162605,162605,90946,89254,48800
29,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AU,MEC,126947,155185,161698,161698,170437,170437,175302,175302,153629,175639,126947,155185,168541,169962,141002,160988,173911,166162,48800
30,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,AU,AID,75128,75128,177656,177656,88980,110640,173173,173173,175215,175215,135132,135132,168290,168290,151141,151141,111778,172491,43000
31,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,AU,CSE,75707,75707,176173,177469,175195,175195,176121,176121,174986,174986,151144,151144,113716,150917,169820,169820,108909,136125,43000
32,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,AU,CSM,78455,110361,173939,173939,163982,163982,174234,174234,166140,171880,78455,110361,141094,141094,166550,166550,128855,124109,43000
33,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,AU,ECE,105760,137581,142802,164764,148322,159565,154341,169506,172640,172640,161862,161862,172274,172274,139053,174966,169490,163957,43000
34,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,AU,INF,121784,149111,154444,154444,174655,174655,175730,175730,166924,166924,121784,149111,154445,172497,171986,171986,173308,147785,43000
35,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,AIM,46093,46093,139668,145085,145668,149972,86799,121264,54011,54011,46093,46093,138956,138956,46093,46093,48138,48846,52800
36,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,CAD,52009,52009,141849,141849,149870,149870,76399,76399,60827,66208,52009,120111,98215,98215,96648,96648,60583,60405,52800
37,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,CIV,126466,126466,177041,177041,170816,176697,156955,169635,172946,172946,126466,126466,134042,167107,163506,163506,147726,132131,52800
38,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,CSE,37462,37462,126781,126781,136069,159573,60339,60339,51647,51647,161409,161409,103772,154500,159310,159310,45623,45258,52800
39,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,ECE,69316,69316,161335,161335,159317,159317,144232,145911,105812,108635,79221,79221,152595,152595,175224,175224,78269,82508,52800
40,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,EEE,104895,154731,149663,162506,165232,165232,162166,162166,149123,155318,104895,154731,173910,177062,132229,154731,104845,116078,52800
41,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AU,INF,72055,72055,161694,161694,160756,160756,130978,130978,93082,109201,161243,161243,78486,78486,124365,141723,71228,71043,52800
42,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005,AU,AID,142677,142677,176942,176942,142677,142677,142677,142677,145833,145833,142677,142677,158325,158325,142677,142677,107474,99480,43000
43,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005,AU,AIM,93395.5,102511.5,146661,117778,140100,146526,132783,139913,135139,142215,106391,119110,153961,153961,127446,135793,107474,99480,43000
44,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005,AU,CSE,140387,140387,173133,177632,175380,175380,173533,173533,154825,172393,157499,157499,172144,172144,172916,172916,173016,166832,43000
45,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005,AU,ECE,134603,134603,134603,134603,161514,161514,134603,134603,134603,134603,134603,134603,172821,172821,134603,134603,107474,99480,43000
46,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,AU,CSD,60948,60948,152535,165829,152845,163514,139040,139040,138243,138243,60948,60948,81486,81486,85131,85131,63537,54662,51000
47,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,AU,CSE,60668,60668,165097,165510,170081,170081,126170,126170,101635,142146,97437,99981,84106,91563,174647,174647,69518,61536,51000
